word,category,rating
affectionate,1,5
compassionate,1,5
friendly,1,5
loving,1,5
open hearted,1,5
sympathetic,1,5
tender,1,5
warm,1,5
confident,2,5
empowered,2,5
open,2,5
proud,2,5
safe,2,5
secure,2,5
engaged,3,5
absorbed,3,4
alert,3,4
curious,3,4
engrossed,3,4
enchanted,3,4
entranced,3,4
fascinated,3,4
interested,3,4
intrigued,3,4
involved,3,4
spellbound,3,4
stimulated,3,4
inspired,4,4
amazed,4,4
awed,4,4
wonder,4,4
excited,5,4
amazed,5,4
animated,5,4
ardent,5,4
aroused,5,4
astonished,5,4
dazzled,5,4
eager,5,4
energetic,5,4
enthusiastic,5,4
giddy,5,4
invigorated,5,4
lively,5,4
passionate,5,4
surprised,5,4
vibrant,5,4
exhilarated,6,4
blissful,6,4
ecstatic,6,4
elated,6,4
enthralled,6,3
exuberant,6,3
radiant,6,3
rapturous,6,3
thrilled,6,3
grateful,7,3
appreciative,7,3
moved,7,3
thankful,7,3
touched,7,3
hopeful,8,3
expectant,8,3
encouraged,8,3
optimistic,8,3
joyful,9,3
amused,9,3
delighted,9,3
glad,9,3
happy,9,3
jubilant,9,3
pleased,9,3
tickled,9,3
peaceful,10,3
calm,10,3
clear headed,10,3
comfortable,10,3
centered,10,3
content,10,3
equanimous,10,3
fulfilled,10,3
mellow,10,3
quiet,10,3
relaxed,10,3
relieved,10,3
satisfied,10,3
serene,10,3
still,10,3
tranquil,10,3
trusting,10,3
refreshed,11,3
enlivened,11,3
rejuvenated,11,3
renewed,11,3
rested,11,3
restored,11,3
revived,11,3
afraid,12,3
apprehensive,12,3
dread,12,3
foreboding,12,3
frightened,12,3
panicked,12,3
petrified,12,3
scared,12,3
suspicious,12,3
terrified,12,3
wary,12,3
worried,12,3
anxious,12,3
tense,12,3
annoyed,13,3
aggravated,13,3
dismayed,13,3
disgruntled,13,3
displeased,13,3
exasperated,13,3
frustrated,13,3
impatient,13,3
irritated,13,3
cranky,13,3
angry,14,3
enraged,14,3
furious,14,3
incensed,14,3
indignant,14,3
irate,14,3
livid,14,3
outraged,14,3
resentful,14,3
confused,15,3
ambivalent,15,3
baffled,15,3
bewildered,15,3
dazed,15,2
hesitant,15,2
lost,15,2
mystified,15,2
perplexed,15,2
puzzled,15,2
torn,15,2
embarrassed,16,2
ashamed,16,2
chagrined,16,2
flustered,16,2
mortified,16,2
self-conscious,16,2
aversion,17,2
animosity,17,2
appalled,17,2
contempt,17,2
disgusted,17,2
dislike,17,2
hate,17,2
horrified,17,2
hostile,17,2
repulsed,17,2
yearning,18,2
envious,18,2
jealous,18,2
longing,18,2
nostalgic,18,2
pining,18,2
wistful,18,2
disquiet,19,2
agitated,19,2
alarmed,19,2
discombobulated,19,2
disconcerted,19,2
disturbed,19,2
distressed,19,2
perturbed,19,2
rattled,19,2
edgy,19,2
restless,19,2
shocked,19,2
startled,19,2
surprised,19,2
troubled,19,2
uncomfortable,19,2
uneasy,19,2
unsettled,19,2
upset,19,1
fatigue,20,1
beat,20,1
burnt out,20,1
depleted,20,1
exhausted,20,1
lethargic,20,1
listless,20,1
sleepy,20,1
tired,20,1
weary,20,1
worn out,20,1
pain,21,1
agony,21,1
anguished,21,1
bereaved,21,1
devastated,21,1
grief,21,1
heartbroken,21,1
hurt,21,1
lonely,21,1
miserable,21,1
regret,21,1
sad,22,1
hopeless,22,1
depressed,22,1
dejected,22,1
despair,22,1
despondent,22,1
disappointed,22,1
discouraged,22,1
disheartened,22,1
forlorn,22,1
gloomy,22,1
heavy hearted,22,1
hopeless,22,1
unhappy,22,1
vulnerable,23,1
fragile,23,1
guarded,23,1
helpless,23,1
insecure,23,1
leery,23,1
reserved,23,1
sensitive,23,1
shaky,23,1
disconnected,24,1
alienated,24,1
aloof,24,1
apathetic,24,1
bored,24,1
cold,24,1
detached,24,1
distant,24,1
distracted,24,1
indifferent,24,1
numb,24,1
removed,24,1
uninterested,24,1
withdrawn,24,1
